Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
17046,20702,23972,26794,29115,30893,32093,32695
18765,22627,25963,28698,30766,32121,32731,32582
20411,24413,27725,30257,31935,32712,32567,31504
21977,26049,29243,31452,32601,32653,31604,29491
23456,27525,30501,32269,32756,31945,29867,26604
24844,28832,31491,32698,32397,30603,27397,22929
26133,29962,32202,32734,31529,28653,24256,18573
27320,30908,32628,32376,30166,26133,20521,13667
28400,31665,32766,31629,28330,23095,16282,8356
29368,32227,32615,30501,26049,19598,11644,2797
30221,32592,32176,29007,23358,15711,6721,-2844
30955,32756,31452,27165,20301,11513,1633,-8401
31567,32720,30450,24995,16926,7086,-3494,-13710
32055,32482,29179,22525,13284,2518,-8537,-18612
32418,32046,27651,19784,9434,-2099,-13370,-22962
32653,31412,25878,16806,5436,-6675,-17875,-26632
32760,30586,23876,13625,1353,-11119,-21942,-29511
32738,29572,21663,10280,-2751,-15341,-25472,-31516
32587,28377,19259,6812,-6812,-19259,-28377,-32587
32308,27007,16685,3262,-10767,-22795,-30586,-32691
31903,25472,13964,-326,-14552,-25878,-32046,-31827
31372,23780,11119,-3912,-18109,-28446,-32720,-30018
30718,21942,8175,-7450,-21382,-30450,-32592,-27320
29943,19970,5160,-10899,-24319,-31849,-31665,-23812
29051,17875,2099,-14217,-26874,-32615,-29962,-19598
28044,15670,-980,-17363,-29007,-32734,-27525,-14803
26927,13370,-4051,-20301,-30685,-32202,-24413,-9568
25705,10987,-7086,-22995,-31881,-31030,-20702,-4051
24381,8537,-10058,-25413,-32577,-29243,-16484,1586
22962,6034,-12942,-27525,-32761,-26874,-11862,7177
21453,3494,-15711,-29306,-32431,-23972,-6949,12555
19859,933,-18342,-30734,-31592,-20593,-1866,17561
18187,-1633,-20810,-31793,-30257,-16806,3262,22046
16444,-4190,-23095,-32470,-28446,-12684,8311,25878
14636,-6721,-25175,-32756,-26189,-8311,13156,28942
12770,-9211,-27033,-32649,-23521,-3773,17679,31148
10855,-11644,-28653,-32149,-20484,840,21768,32431
8897,-14006,-30018,-31262,-17125,5436,25324,32753
6903,-16282,-31119,-30000,-13497,9925,28259,32103
4883,-18458,-31945,-28377,-9658,14217,30501,30501
2844,-20521,-32488,-26412,-5666,18226,31996,27996
793,-22457,-32745,-24130,-1586,21873,32706,24660
-1260,-24256,-32712,-21558,2518,25085,32615,20593
-3308,-25906,-32390,-18727,6584,27800,31724,15916
-5344,-27397,-31782,-15670,10546,29962,30056,10767
-7359,-28720,-30893,-12426,14343,31529,27651,5298
-9345,-29867,-29731,-9031,17914,32470,24568,-326
-11294,-30830,-28306,-5528,21204,32766,20882,-5942
-13199,-31604,-26632,-1959,24162,32411,16685,-11382
-15052,-32184,-24721,1633,26740,31412,12079,-16484
-16846,-32567,-22593,5206,28898,29790,7177,-21097
-18573,-32750,-20265,8717,30603,27575,2099,-25085
-20228,-32731,-17758,12123,31827,24813,-3030,-28330
-21803,-32512,-15093,15383,32551,21558,-8085,-30734
-23293,-32093,-12296,18458,32765,17875,-12942,-32227
-24691,-31478,-9390,21311,32464,13837,-17482,-32765
-25992,-30669,-6401,23908,31653,9524,-21593,-32331
-27191,-29672,-3355,26217,30345,5022,-25175,-30939
-28283,-28493,-280,28212,28561,420,-28140,-28630
-29264,-27138,2797,29867,26329,-4190,-30415,-25472
-30130,-25618,5850,31163,23683,-8717,-31945,-21558
-30877,-23940,8852,32084,20666,-13071,-32691,-17006
-31504,-22115,11775,32620,17324,-17165,-32637,-11949
-32006,-20154,14594,32763,13710,-20918,-31782,-6538
-32383,-18070,17284,32512,9881,-24256,-30148,-933
-32632,-15875,19822,31871,5896,-27112,-27775,4698
-32754,-13582,22184,30846,1819,-29430,-24721,10192
-32747,-11206,24350,29450,-2285,-31163,-21062,15383
-32611,-8762,26301,27701,-6355,-32277,-16886,20118
-32346,-6263,28020,25618,-10325,-32750,-12296,24256
-31955,-3726,29491,23227,-14132,-32572,-7405,27676
-31439,-1166,30702,20557,-17718,-31747,-2332,30275
-30798,1400,31641,17640,-21026,-30292,2797,31976
-30037,3958,32301,14510,-24004,-28235,7859,32729
-29158,6492,32675,11206,-26604,-25618,12727,32512
-28164,8986,32760,7768,-28787,-22491,17284,31331
-27060,11426,32557,4236,-30518,-18918,21417,29222
-25849,13795,32065,653,-31770,-14969,25025,26245
-24537,16079,31290,-2937,-32524,-10723,28020,22491
-23128,18264,30239,-6492,-32766,-6263,30328,18070
-21628,20338,28920,-9970,-32494,-1679,31892,13113
-20044,22287,27346,-13327,-31713,2937,32675,7768
-18381,24099,25530,-16524,-30433,7496,32657,2192
-16645,25763,23489,-19523,-28675,11905,31838,-3448
-14844,27269,21240,-22287,-26467,16079,30239,-8986
-12985,28607,18803,-24783,-23844,19933,27898,-14259
-11075,29770,16201,-26980,-20846,23391,24874,-19108
-9121,30750,13455,-28854,-17521,26385,21240,-23391
-7131,31542,10590,-30381,-13921,28854,17085,-26980
-5114,32140,7632,-31542,-10103,30750,12512,-29770
-3076,32540,4606,-32324,-6126,32036,7632,-31677
-1026,32741,1540,-32717,-2052,32685,2565,-32645
1026,32741,-1540,-32717,2052,32685,-2565,-32645
3076,32540,-4606,-32324,6126,32036,-7632,-31677
5114,32140,-7632,-31542,10103,30750,-12512,-29770
7131,31542,-10590,-30381,13921,28854,-17085,-26980
9121,30750,-13455,-28854,17521,26385,-21240,-23391
11075,29770,-16201,-26980,20846,23391,-24874,-19108
12985,28607,-18803,-24783,23844,19933,-27898,-14259
14844,27269,-21240,-22287,26467,16079,-30239,-8986
16645,25763,-23489,-19523,28675,11905,-31838,-3448
18381,24099,-25530,-16524,30433,7496,-32657,2192
20044,22287,-27346,-13327,31713,2937,-32675,7768
21628,20338,-28920,-9970,32494,-1679,-31892,13113
23128,18264,-30239,-6492,32766,-6263,-30328,18070
24537,16079,-31290,-2937,32524,-10723,-28020,22491
25849,13795,-32065,653,31770,-14969,-25025,26245
27060,11426,-32557,4236,30518,-18918,-21417,29222
28164,8986,-32760,7768,28787,-22491,-17284,31331
29158,6492,-32675,11206,26604,-25618,-12727,32512
30037,3958,-32301,14510,24004,-28235,-7859,32729
30798,1400,-31641,17640,21026,-30292,-2797,31976
31439,-1166,-30702,20557,17718,-31747,2332,30275
31955,-3726,-29491,23227,14132,-32572,7405,27676
32346,-6263,-28020,25618,10325,-32750,12296,24256
32611,-8762,-26301,27701,6355,-32277,16886,20118
32747,-11206,-24350,29450,2285,-31163,21062,15383
32754,-13582,-22184,30846,-1819,-29430,24721,10192
32632,-15875,-19822,31871,-5896,-27112,27775,4698
32383,-18070,-17284,32512,-9881,-24256,30148,-933
32006,-20154,-14594,32763,-13710,-20918,31782,-6538
31504,-22115,-11775,32620,-17324,-17165,32637,-11949
30877,-23940,-8852,32084,-20666,-13071,32691,-17006
30130,-25618,-5850,31163,-23683,-8717,31945,-21558
29264,-27138,-2797,29867,-26329,-4190,30415,-25472
28283,-28493,280,28212,-28561,420,28140,-28630
27191,-29672,3355,26217,-30345,5022,25175,-30939
25992,-30669,6401,23908,-31653,9524,21593,-32331
24691,-31478,9390,21311,-32464,13837,17482,-32765
23293,-32093,12296,18458,-32765,17875,12942,-32227
21803,-32512,15093,15383,-32551,21558,8085,-30734
20228,-32731,17758,12123,-31827,24813,3030,-28330
18573,-32750,20265,8717,-30603,27575,-2099,-25085
16846,-32567,22593,5206,-28898,29790,-7177,-21097
15052,-32184,24721,1633,-26740,31412,-12079,-16484
13199,-31604,26632,-1959,-24162,32411,-16685,-11382
11294,-30830,28306,-5528,-21204,32766,-20882,-5942
9345,-29867,29731,-9031,-17914,32470,-24568,-326
7359,-28720,30893,-12426,-14343,31529,-27651,5298
5344,-27397,31782,-15670,-10546,29962,-30056,10767
3308,-25906,32390,-18727,-6584,27800,-31724,15916
1260,-24256,32712,-21558,-2518,25085,-32615,20593
-793,-22457,32745,-24130,1586,21873,-32706,24660
-2844,-20521,32488,-26412,5666,18226,-31996,27996
-4883,-18458,31945,-28377,9658,14217,-30501,30501
-6903,-16282,31119,-30000,13497,9925,-28259,32103
-8897,-14006,30018,-31262,17125,5436,-25324,32753
-10855,-11644,28653,-32149,20484,840,-21768,32431
-12770,-9211,27033,-32649,23521,-3773,-17679,31148
-14636,-6721,25175,-32756,26189,-8311,-13156,28942
-16444,-4190,23095,-32470,28446,-12684,-8311,25878
-18187,-1633,20810,-31793,30257,-16806,-3262,22046
-19859,933,18342,-30734,31592,-20593,1866,17561
-21453,3494,15711,-29306,32431,-23972,6949,12555
-22962,6034,12942,-27525,32761,-26874,11862,7177
-24381,8537,10058,-25413,32577,-29243,16484,1586
-25705,10987,7086,-22995,31881,-31030,20702,-4051
-26927,13370,4051,-20301,30685,-32202,24413,-9568
-28044,15670,980,-17363,29007,-32734,27525,-14803
-29051,17875,-2099,-14217,26874,-32615,29962,-19598
-29943,19970,-5160,-10899,24319,-31849,31665,-23812
-30718,21942,-8175,-7450,21382,-30450,32592,-27320
-31372,23780,-11119,-3912,18109,-28446,32720,-30018
-31903,25472,-13964,-326,14552,-25878,32046,-31827
-32308,27007,-16685,3262,10767,-22795,30586,-32691
-32587,28377,-19259,6812,6812,-19259,28377,-32587
-32738,29572,-21663,10280,2751,-15341,25472,-31516
-32760,30586,-23876,13625,-1353,-11119,21942,-29511
-32653,31412,-25878,16806,-5436,-6675,17875,-26632
-32418,32046,-27651,19784,-9434,-2099,13370,-22962
-32055,32482,-29179,22525,-13284,2518,8537,-18612
-31567,32720,-30450,24995,-16926,7086,3494,-13710
-30955,32756,-31452,27165,-20301,11513,-1633,-8401
-30221,32592,-32176,29007,-23358,15711,-6721,-2844
-29368,32227,-32615,30501,-26049,19598,-11644,2797
-28400,31665,-32766,31629,-28330,23095,-16282,8356
-27320,30908,-32628,32376,-30166,26133,-20521,13667
-26133,29962,-32202,32734,-31529,28653,-24256,18573
-24844,28832,-31491,32698,-32397,30603,-27397,22929
-23456,27525,-30501,32269,-32756,31945,-29867,26604
-21977,26049,-29243,31452,-32601,32653,-31604,29491
-20411,24413,-27725,30257,-31935,32712,-32567,31504
-18765,22627,-25963,28698,-30766,32121,-32731,32582
-17046,20702,-23972,26794,-29115,30893,-32093,32695
-15259,18650,-21768,24568,-27007,29051,-30669,31838
-13412,16484,-19373,22046,-24475,26632,-28493,30037
-11513,14217,-16806,19259,-21558,23683,-25618,27346
-9568,11862,-14090,16241,-18303,20265,-22115,23844
-7586,9434,-11250,13028,-14761,16444,-18070,19635
-5574,6949,-8311,9658,-10987,12296,-13582,14844
-3541,4421,-5298,6172,-7040,7904,-8762,9613
-1493,1866,-2239,2611,-2983,3355,-3726,4097
560,-700,840,-980,1120,-1260,1400,-1540
2611,-3262,3912,-4560,5206,-5850,6492,-7131
4652,-5804,6949,-8085,9211,-10325,11426,-12512
6675,-8311,9925,-11513,13071,-14594,16079,-17521
8672,-10767,12813,-14803,16725,-18573,20338,-22012
10634,-13156,15588,-17914,20118,-22184,24099,-25849
12555,-15465,18226,-20810,23194,-25354,27269,-28920
14427,-17679,20702,-23456,25906,-28020,29770,-31134
16241,-19784,22995,-25820,28212,-30130,31542,-32424
17992,-21768,25085,-27874,30074,-31641,32540,-32754
19673,-23619,26954,-29592,31465,-32524,32741,-32112
21276,-25324,28584,-30955,32361,-32760,32140,-30518
22795,-26874,29962,-31945,32750,-32346,30750,-28020
24225,-28259,31075,-32551,32624,-31290,28607,-24691
25559,-29471,31914,-32766,31986,-29612,25763,-20630
26794,-30501,32470,-32587,30846,-27346,22287,-15957
27923,-31345,32739,-32016,29222,-24537,18264,-10811
28942,-31996,32720,-31060,27138,-21240,13795,-5344
29848,-32451,32411,-29731,24629,-17521,8986,280
30636,-32706,31816,-28044,21733,-13455,3958,5896
31304,-32761,30939,-26020,18496,-9121,-1166,11338
31849,-32615,29790,-23683,14969,-4606,-6263,16444
32269,-32269,28377,-21062,11206,0,-11206,21062
32562,-31724,26713,-18187,7268,4606,-15875,25055
32727,-30985,24813,-15093,3216,9121,-20154,28306
32764,-30056,22694,-11818,-886,13455,-23940,30718
32671,-28942,20375,-8401,-4975,17521,-27138,32219
32451,-27651,17875,-4883,-8986,21240,-29672,32765
32103,-26189,15218,-1306,-12856,24537,-31478,32339
31629,-24568,12426,2285,-16524,27346,-32512,30955
31030,-22795,9524,5850,-19933,29612,-32750,28653
30310,-20882,6538,9345,-23029,31290,-32184,25501
29471,-18842,3494,12727,-25763,32346,-30830,21593
28516,-16685,420,15957,-28092,32760,-28720,17046
27448,-14427,-2658,18994,-29981,32524,-25906,11992
26273,-12079,-5712,21803,-31399,31641,-22457,6584
24995,-9658,-8717,24350,-32324,30130,-18458,980
23619,-7177,-11644,26604,-32741,28020,-14006,-4652
22149,-4652,-14468,28539,-32645,25354,-9211,-10147
20593,-2099,-17165,30130,-32036,22184,-4190,-15341
18956,466,-19710,31359,-30924,18573,933,-20081
17244,3030,-22081,32210,-29326,14594,6034,-24225
15465,5574,-24256,32675,-27269,10325,10987,-27651
13625,8085,-26217,32747,-24783,5850,15670,-30257
11731,10546,-27947,32424,-21908,1260,19970,-31966
9791,12942,-29430,31713,-18689,-3355,23780,-32727
7813,15259,-30652,30619,-15176,-7904,27007,-32518
5804,17482,-31604,29158,-11426,-12296,29572,-31345
3773,19598,-32277,27346,-7496,-16444,31412,-29243
1726,21593,-32664,25205,-3448,-20265,32482,-26273
-326,23456,-32763,22761,653,-23683,32756,-22525
-2378,25175,-32572,20044,4745,-26632,32227,-18109
-4421,26740,-32093,17085,8762,-29051,30908,-13156
-6446,28140,-31331,13921,12641,-30893,28832,-7813
-8446,29368,-30292,10590,16322,-32121,26049,-2239
-10413,30415,-28986,7131,19747,-32712,22627,3401
-12339,31276,-27423,3587,22862,-32653,18650,8942
-14217,31945,-25618,0,25618,-31945,14217,14217
-16038,32418,-23586,-3587,27971,-30603,9434,19070
-17797,32691,-21346,-7131,29886,-28653,4421,23358
-19485,32765,-18918,-10590,31331,-26133,-700,26954
-21097,32637,-16322,-13921,32285,-23095,-5804,29751
-22627,32308,-13582,-17085,32731,-19598,-10767,31665
-24067,31782,-10723,-20044,32664,-15711,-15465,32641
-25413,31060,-7768,-22761,32084,-11513,-19784,32649
-26659,30148,-4745,-25205,31000,-7086,-23619,31689
-27800,29051,-1679,-27346,29430,-2518,-26874,29790
-28832,27775,1400,-29158,27397,2099,-29471,27007
-29751,26329,4467,-30619,24935,6675,-31345,23424
-30552,24721,7496,-31713,22081,11119,-32451,19146
-31234,22962,10457,-32424,18880,15341,-32761,14301
-31793,21062,13327,-32747,15383,19259,-32269,9031
-32227,19032,16079,-32675,11644,22795,-30985,3494
-32535,16886,18689,-32210,7723,25878,-28942,-2145
-32715,14636,21133,-31359,3680,28446,-26189,-7723
-32766,12296,23391,-30130,-420,30450,-22795,-13071
-32688,9881,25442,-28539,-4514,31849,-18842,-18031
-32482,7405,27269,-26604,-8537,32615,-14427,-22457
-32149,4883,28854,-24350,-12426,32734,-9658,-26217
-31689,2332,30184,-21803,-16120,32202,-4652,-29200
-31105,-233,31248,-18994,-19560,31030,466,-31318
-30398,-2797,32036,-15957,-22694,29243,5574,-32506
-29572,-5344,32540,-12727,-25472,26874,10546,-32731
-28630,-7859,32757,-9345,-27849,23972,15259,-31986
-27575,-10325,32685,-5850,-29790,20593,19598,-30292
-26412,-12727,32324,-2285,-31262,16806,23456,-27701
-25145,-15052,31677,1306,-32244,12684,26740,-24288
-23780,-17284,30750,4883,-32720,8311,29368,-20154
-22321,-19410,29552,8401,-32682,3773,31276,-15424
-20774,-21417,28092,11818,-32131,-840,32418,-10236
-19146,-23293,26385,15093,-31075,-5436,32765,-4745
-17442,-25025,24444,18187,-29532,-9925,32308,886
-15670,-26604,22287,21062,-27525,-14217,31060,6492
-13837,-28020,19933,23683,-25085,-18226,29051,11905
-11949,-29264,17403,26020,-22252,-21873,26329,16966
-10014,-30328,14719,28044,-19070,-25085,22962,21523
-8040,-31206,11905,29731,-15588,-27800,19032,25442
-6034,-31892,8986,31060,-11862,-29962,14636,28607
-4004,-32383,5988,32016,-7949,-31529,9881,30924
-1959,-32675,2937,32587,-3912,-32470,4883,32324
93,-32766,-140,32766,186,-32766,-233,32766
2145,-32657,-3216,32551,4282,-32411,-5344,32236
4190,-32346,-6263,31945,8311,-31412,-10325,30750
6217,-31838,-9255,30955,12209,-29790,-15052,28353
8221,-31134,-12166,29592,15916,-27575,-19410,25115
10192,-30239,-14969,27874,19373,-24813,-23293,21133
12123,-29158,-17640,25820,22525,-21558,-26604,16524
14006,-27898,-20154,23456,25324,-17875,-29264,11426
15834,-26467,-22491,20810,27725,-13837,-31206,5988
17600,-24874,-24629,17914,29692,-9524,-32383,373
19297,-23128,-26550,14803,31192,-5022,-32766,-5252
20918,-21240,-28235,11513,32202,-420,-32346,-10723
22457,-19222,-29672,8085,32706,4190,-31134,-15875
23908,-17085,-30846,4560,32698,8717,-29158,-20557
25265,-14844,-31747,980,32176,13071,-26467,-24629
26522,-12512,-32369,-2611,31148,17165,-23128,-27971
27676,-10103,-32704,-6172,29632,20918,-19222,-30484
28720,-7632,-32750,-9658,27651,24256,-14844,-32093
29652,-5114,-32506,-13028,25235,27112,-10103,-32751
30467,-2565,-31976,-16241,22423,29430,-5114,-32438
31163,0,-31163,-19259,19259,31163,0,-31163
31736,2565,-30074,-22046,15793,32277,5114,-28964
32184,5114,-28720,-24568,12079,32750,10103,-25906
32506,7632,-27112,-26794,8175,32572,14844,-22081
32701,10103,-25265,-28698,4143,31747,19222,-17600
32766,12512,-23194,-30257,46,30292,23128,-12598
32704,14844,-20918,-31452,-4051,28235,26467,-7223
32512,17085,-18458,-32269,-8085,25618,29158,-1633
32193,19222,-15834,-32698,-11992,22491,31134,4004
31747,21240,-13071,-32734,-15711,18918,32346,9524
31177,23128,-10192,-32376,-19184,14969,32766,14761
30484,24874,-7223,-31629,-22355,10723,32383,19560
29672,26467,-4190,-30501,-25175,6263,31206,23780
28743,27898,-1120,-29007,-27600,1679,29264,27294
27701,29158,1959,-27165,-29592,-2937,26604,30000
26550,30239,5022,-24995,-31119,-7496,23293,31816
25294,31134,8040,-22525,-32158,-11905,19410,32688
23940,31838,10987,-19784,-32691,-16079,15052,32592
22491,32346,13837,-16806,-32712,-19933,10325,31529
20954,32657,16565,-13625,-32219,-23391,5344,29532
19335,32766,19146,-10280,-31220,-26385,233,26659
17640,32675,21558,-6812,-29731,-28854,-4883,22995
15875,32383,23780,-3262,-27775,-30750,-9881,18650
14048,31892,25791,326,-25383,-32036,-14636,13752
12166,31206,27575,3912,-22593,-32685,-19032,8446
10236,30328,29115,7450,-19448,-32685,-22962,2890
8266,29264,30398,10899,-15997,-32036,-26329,-2751
6263,28020,31412,14217,-12296,-30750,-29051,-8311
4236,26604,32149,17363,-8401,-28854,-31060,-13625
2192,25025,32601,20301,-4375,-26385,-32308,-18535
140,23293,32766,22995,-280,-23391,-32765,-22895
-1912,21417,32641,25413,3819,-19933,-32418,-26577
-3958,19410,32227,27525,7859,-16079,-31276,-29471
-5988,17284,31529,29306,11775,-11905,-29368,-31491
-7994,15052,30552,30734,15506,-7496,-26740,-32577
-9970,12727,29306,31793,18994,-2937,-23456,-32698
-11905,10325,27800,32470,22184,1679,-19598,-31849
-13795,7859,26049,32756,25025,6263,-15259,-30056
-15629,5344,24067,32649,27474,10723,-10546,-27372
-17403,2797,21873,32149,29491,14969,-5574,-23876
-19108,233,19485,31262,31045,18918,-466,-19673
-20738,-2332,16926,30000,32112,22491,4652,-14886
-22287,-4883,14217,28377,32675,25618,9658,-9658
-23748,-7405,11382,26412,32725,28235,14427,-4143
-25115,-9881,8446,24130,32261,30292,18842,1493
-26385,-12296,5436,21558,31290,31747,22795,7086
-27550,-14636,2378,18727,29828,32572,26189,12469
-28607,-16886,-700,15670,27898,32750,28942,17482
-29552,-19032,-3773,12426,25530,32277,30985,21977
-30381,-21062,-6812,9031,22761,31163,32269,25820
-31090,-22962,-9791,5528,19635,29430,32761,28898
-31677,-24721,-12684,1959,16201,27112,32451,31119
-32140,-26329,-15465,-1633,12512,24256,31345,32418
-32476,-27775,-18109,-5206,8627,20918,29471,32755
-32685,-29051,-20593,-8717,4606,17165,26874,32121
-32766,-30148,-22895,-12123,513,13071,23619,30535
-32717,-31060,-24995,-15383,-3587,8717,19784,28044
-32540,-31782,-26874,-18458,-7632,4190,15465,24721
-32236,-32308,-28516,-21311,-11557,-420,10767,20666
-31804,-32637,-29905,-23908,-15300,-5022,5804,15997
-31248,-32765,-31030,-26217,-18803,-9524,700,10855
-30569,-32691,-31881,-28212,-22012,-13837,-4421,5390
-29770,-32418,-32451,-29867,-24874,-17875,-9434,-233
-28854,-31945,-32734,-31163,-27346,-21558,-14217,-5850
-27825,-31276,-32727,-32084,-29389,-24813,-18650,-11294
-26686,-30415,-32431,-32620,-30970,-27575,-22627,-16403
-25442,-29368,-31849,-32763,-32065,-29790,-26049,-21026
-24099,-28140,-30985,-32512,-32657,-31412,-28832,-25025
-22660,-26740,-29848,-31871,-32736,-32411,-30908,-28283
-21133,-25175,-28446,-30846,-32301,-32766,-32227,-30702
-19523,-23456,-26794,-29450,-31359,-32470,-32756,-32210
-17836,-21593,-24904,-27701,-29924,-31529,-32482,-32764
-16079,-19598,-22795,-25618,-28020,-29962,-31412,-32346
-14259,-17482,-20484,-23227,-25676,-27800,-29572,-30970
-12382,-15259,-17992,-20557,-22929,-25085,-27007,-28675
-10457,-12942,-15341,-17640,-19822,-21873,-23780,-25530
-8491,-10546,-12555,-14510,-16403,-18226,-19970,-21628
-6492,-8085,-9658,-11206,-12727,-14217,-15670,-17085
-4467,-5574,-6675,-7768,-8852,-9925,-10987,-12036
-2425,-3030,-3633,-4236,-4837,-5436,-6034,-6629
-373,-466,-560,-653,-746,-840,-933,-1026
1679,2099,2518,2937,3355,3773,4190,4606
3726,4652,5574,6492,7405,8311,9211,10103
5758,7177,8582,9970,11338,12684,14006,15300
7768,9658,11513,13327,15093,16806,18458,20044
9747,12079,14343,16524,18612,20593,22457,24193
11688,14427,17046,19523,21838,23972,25906,27626
13582,16685,19598,22287,24721,26874,28720,30239
15424,18842,21977,24783,27217,29243,30830,31955
17205,20882,24162,26980,29285,31030,32184,32725
18918,22795,26133,28854,30893,32202,32750,32524
20557,24568,27874,30381,32016,32734,32512,31359
22115,26189,29368,31542,32637,32615,31478,29264
23586,27651,30603,32324,32745,31849,29672,26301
24965,28942,31567,32717,32339,30450,27138,22559
26245,30056,32252,32717,31425,28446,23940,18148
27423,30985,32653,32324,30018,25878,20154,13199
28493,31724,32765,31542,28140,22795,15875,7859
29450,32269,32587,30381,25820,19259,11206,2285
30292,32615,32121,28854,23095,15341,6263,-3355
31015,32761,31372,26980,20007,11119,1166,-8897
31617,32706,30345,24783,16605,6675,-3958,-14174
32093,32451,29051,22287,12942,2099,-8986,-19032
32444,31996,27499,19523,9076,-2518,-13795,-23326
32668,31345,25705,16524,5068,-7086,-18264,-26927
32763,30501,23683,13327,980,-11513,-22287,-29731
32729,29471,21453,9970,-3123,-15711,-25763,-31653
32567,28259,19032,6492,-7177,-19598,-28607,-32637
32277,26874,16444,2937,-11119,-23095,-30750,-32653
31860,25324,13710,-653,-14886,-26133,-32140,-31701
31318,23619,10855,-4236,-18419,-28653,-32741,-29809
30652,21768,7904,-7768,-21663,-30603,-32540,-27033
29867,19784,4883,-11206,-24568,-31945,-31542,-23456
28964,17679,1819,-14510,-27086,-32653,-29770,-19184
27947,15465,-1260,-17640,-29179,-32712,-27269,-14343
26821,13156,-4329,-20557,-30814,-32121,-24099,-9076
25589,10767,-7359,-23227,-31966,-30893,-20338,-3541
24256,8311,-10325,-25618,-32615,-29051,-16079,2099
22828,5804,-13199,-27701,-32753,-26632,-11426,7677
21311,3262,-15957,-29450,-32376,-23683,-6492,13028
19710,700,-18573,-30846,-31491,-20265,-1400,17992
18031,-1866,-21026,-31871,-30111,-16444,3726,22423
16282,-4421,-23293,-32512,-28259,-12296,8762,26189
14468,-6949,-25354,-32763,-25963,-7904,13582,29179
12598,-9434,-27191,-32620,-23260,-3355,18070,31304
10678,-11862,-28787,-32084,-20191,1260,22115,32500
8717,-14217,-30130,-31163,-16806,5850,25618,32734
6721,-16484,-31206,-29867,-13156,10325,28493,31996
4698,-18650,-32006,-28212,-9300,14594,30669,30310
2658,-20702,-32524,-26217,-5298,18573,32093,27725
606,-22627,-32754,-23908,-1213,22184,32731,24319
-1446,-24413,-32695,-21311,2890,25354,32567,20191
-3494,-26049,-32346,-18458,6949,28020,31604,15465
-5528,-27525,-31713,-15383,10899,30130,29867,10280
-7541,-28832,-30798,-12123,14677,31641,27397,4791
-9524,-29962,-29612,-8717,18226,32524,24256,-840
-11469,-30908,-28164,-5206,21488,32760,20521,-6446
-13370,-31665,-26467,-1633,24413,32346,16282,-11862
-15218,-32227,-24537,1959,26954,31290,11644,-16926
-17006,-32592,-22389,5528,29072,29612,6721,-21488
-18727,-32756,-20044,9031,30734,27346,1633,-25413
-20375,-32720,-17521,12426,31914,24537,-3494,-28584
-21942,-32482,-14844,15670,32592,21240,-8537,-30908
-23424,-32046,-12036,18727,32759,17521,-13370,-32316
-24813,-31412,-9121,21558,32411,13455,-17875,-32766
-26105,-30586,-6126,24130,31554,9121,-21942,-32244
-27294,-29572,-3076,26412,30203,4606,-25472,-30766
-28377,-28377,0,28377,28377,0,-28377,-28377
-29347,-27007,3076,30000,26105,-4606,-30586,-25145
-30203,-25472,6126,31262,23424,-9121,-32046,-21169
-30939,-23780,9121,32149,20375,-13455,-32720,-16565
-31554,-21942,12036,32649,17006,-17521,-32592,-11469
-32046,-19970,14844,32756,13370,-21240,-31665,-6034
-32411,-17875,17521,32470,9524,-24537,-29962,-420
-32649,-15670,20044,31793,5528,-27346,-27525,5206
-32759,-13370,22389,30734,1446,-29612,-24413,10678
-32739,-10987,24537,29306,-2658,-31290,-20702,15834
-32592,-8537,26467,27525,-6721,-32346,-16484,20521
-32316,-6034,28164,25413,-10678,-32760,-11862,24598
-31914,-3494,29612,22995,-14468,-32524,-6949,27947
-31385,-933,30798,20301,-18031,-31641,-1866,30467
-30734,1633,31713,17363,-21311,-30130,3262,32084
-29962,4190,32346,14217,-24256,-28020,8311,32750
-29072,6721,32695,10899,-26821,-25354,13156,32444
-28068,9211,32754,7450,-28964,-22184,17679,31177
-26954,11644,32524,3912,-30652,-18573,21768,28986
-25734,14006,32006,326,-31860,-14594,25324,25935
-24413,16282,31206,-3262,-32567,-10325,28259,22115
-22995,18458,30130,-6812,-32763,-5850,30501,17640
-21488,20521,28787,-10280,-32444,-1260,31996,12641
-19896,22457,27191,-13625,-31617,3355,32706,7268
-18226,24256,25354,-16806,-30292,7904,32615,1679
-16484,25906,23293,-19784,-28493,12296,31724,-3958
-14677,27397,21026,-22525,-26245,16444,30056,-9479
-12813,28720,18573,-24995,-23586,20265,27651,-14719
-10899,29867,15957,-27165,-20557,23683,24568,-19523
-8942,30830,13199,-29007,-17205,26632,20882,-23748
-6949,31604,10325,-30501,-13582,29051,16685,-27269
-4929,32184,7359,-31629,-9747,30893,12079,-29981
-2890,32567,4329,-32376,-5758,32121,7177,-31804
-840,32750,1260,-32734,-1679,32712,2099,-32685
1213,32731,-1819,-32698,2425,32653,-3030,-32597
3262,32512,-4883,-32269,6492,31945,-8085,-31542
5298,32093,-7904,-31452,10457,30603,-12942,-29552
7314,31478,-10855,-30257,14259,28653,-17482,-26686
9300,30669,-13710,-28698,17836,26133,-21593,-23029
11250,29672,-16444,-26794,21133,23095,-25175,-18689
13156,28493,-19032,-24568,24099,19598,-28140,-13795
15010,27138,-21453,-22046,26686,15711,-30415,-8491
16806,25618,-23683,-19259,28854,11513,-31945,-2937
