Ch1,Ch2,Ch3,Ch4
-3448,-32482,5160,32210
-1400,-32720,2099,32675
653,-32756,-980,32747
2704,-32592,-4051,32424
4745,-32227,-7086,31713
6766,-31665,-10058,30619
8762,-30908,-12942,29158
10723,-29962,-15711,27346
12641,-28832,-18342,25205
14510,-27525,-20810,22761
16322,-26049,-23095,20044
18070,-24413,-25175,17085
19747,-22627,-27033,13921
21346,-20702,-28653,10590
22862,-18650,-30018,7131
24288,-16484,-31119,3587
25618,-14217,-31945,0
26847,-11862,-32488,-3587
27971,-9434,-32745,-7131
28986,-6949,-32712,-10590
29886,-4421,-32390,-13921
30669,-1866,-31782,-17085
31331,700,-30893,-20044
31871,3262,-29731,-22761
32285,5804,-28306,-25205
32572,8311,-26632,-27346
32731,10767,-24721,-29158
32762,13156,-22593,-30619
32664,15465,-20265,-31713
32438,17679,-17758,-32424
32084,19784,-15093,-32747
31604,21768,-12296,-32675
31000,23619,-9390,-32210
30275,25324,-6401,-31359
29430,26874,-3355,-30130
28469,28259,-280,-28539
27397,29471,2797,-26604
26217,30501,5850,-24350
24935,31345,8852,-21803
23554,31996,11775,-18994
22081,32451,14594,-15957
20521,32706,17284,-12727
18880,32761,19822,-9345
17165,32615,22184,-5850
15383,32269,24350,-2285
13540,31724,26301,1306
11644,30985,28020,4883
9702,30056,29491,8401
7723,28942,30702,11818
5712,27651,31641,15093
3680,26189,32301,18187
1633,24568,32675,21062
-420,22795,32760,23683
-2471,20882,32557,26020
-4514,18842,32065,28044
-6538,16685,31290,29731
-8537,14427,30239,31060
-10502,12079,28920,32016
-12426,9658,27346,32587
-14301,7177,25530,32766
-16120,4652,23489,32551
-17875,2099,21240,31945
-19560,-466,18803,30955
-21169,-3030,16201,29592
-22694,-5574,13455,27874
-24130,-8085,10590,25820
-25472,-10546,7632,23456
-26713,-12942,4606,20810
-27849,-15259,1540,17914
-28876,-17482,-1540,14803
-29790,-19598,-4606,11513
-30586,-21593,-7632,8085
-31262,-23456,-10590,4560
-31816,-25175,-13455,980
-32244,-26740,-16201,-2611
-32546,-28140,-18803,-6172
-32720,-29368,-21240,-9658
-32765,-30415,-23489,-13028
-32682,-31276,-25530,-16241
-32470,-31945,-27346,-19259
-32131,-32418,-28920,-22046
-31665,-32691,-30239,-24568
-31075,-32765,-31290,-26794
-30363,-32637,-32065,-28698
-29532,-32308,-32557,-30257
-28584,-31782,-32760,-31452
-27525,-31060,-32675,-32269
-26357,-30148,-32301,-32698
-25085,-29051,-31641,-32734
-23716,-27775,-30702,-32376
-22252,-26329,-29491,-31629
-20702,-24721,-28020,-30501
-19070,-22962,-26301,-29007
-17363,-21062,-24350,-27165
-15588,-19032,-22184,-24995
-13752,-16886,-19822,-22525
-11862,-14636,-17284,-19784
-9925,-12296,-14594,-16806
-7949,-9881,-11775,-13625
-5942,-7405,-8852,-10280
-3912,-4883,-5850,-6812
-1866,-2332,-2797,-3262
186,233,280,326
2239,2797,3355,3912
4282,5344,6401,7450
6309,7859,9390,10899
8311,10325,12296,14217
10280,12727,15093,17363
12209,15052,17758,20301
14090,17284,20265,22995
15916,19410,22593,25413
17679,21417,24721,27525
19373,23293,26632,29306
20990,25025,28306,30734
22525,26604,29731,31793
23972,28020,30893,32470
25324,29264,31782,32756
26577,30328,32390,32649
27725,31206,32712,32149
28765,31892,32745,31262
29692,32383,32488,30000
30501,32675,31945,28377
31192,32766,31119,26412
31759,32657,30018,24130
32202,32346,28653,21558
32518,31838,27033,18727
32706,31134,25175,15670
32766,30239,23095,12426
32698,29158,20810,9031
32500,27898,18342,5528
32176,26467,15711,1959
31724,24874,12942,-1633
31148,23128,10058,-5206
30450,21240,7086,-8717
29632,19222,4051,-12123
28698,17085,980,-15383
27651,14844,-2099,-18458
26495,12512,-5160,-21311
25235,10103,-8175,-23908
23876,7632,-11119,-26217
22423,5114,-13964,-28212
20882,2565,-16685,-29867
19259,0,-19259,-31163
17561,-2565,-21663,-32084
15793,-5114,-23876,-32620
13964,-7632,-25878,-32763
12079,-10103,-27651,-32512
10147,-12512,-29179,-31871
8175,-14844,-30450,-30846
6172,-17085,-31452,-29450
4143,-19222,-32176,-27701
2099,-21240,-32615,-25618
46,-23128,-32766,-23227
-2006,-24874,-32628,-20557
-4051,-26467,-32202,-17640
-6080,-27898,-31491,-14510
-8085,-29158,-30501,-11206
-10058,-30239,-29243,-7768
-11992,-31134,-27725,-4236
-13879,-31838,-25963,-653
-15711,-32346,-23972,2937
-17482,-32657,-21768,6492
-19184,-32766,-19373,9970
-20810,-32675,-16806,13327
-22355,-32383,-14090,16524
-23812,-31892,-11250,19523
-25175,-31206,-8311,22287
-26440,-30328,-5298,24783
-27600,-29264,-2239,26980
-28653,-28020,840,28854
-29592,-26604,3912,30381
-30415,-25025,6949,31542
-31119,-23293,9925,32324
-31701,-21417,12813,32717
-32158,-19410,15588,32717
-32488,-17284,18226,32324
-32691,-15052,20702,31542
-32766,-12727,22995,30381
-32712,-10325,25085,28854
-32529,-7859,26954,26980
-32219,-5344,28584,24783
-31782,-2797,29962,22287
-31220,-233,31075,19523
-30535,2332,31914,16524
-29731,4883,32470,13327
-28810,7405,32739,9970
-27775,9881,32720,6492
-26632,12296,32411,2937
-25383,14636,31816,-653
-24035,16886,30939,-4236
-22593,19032,29790,-7768
-21062,21062,28377,-11206
-19448,22962,26713,-14510
-17758,24721,24813,-17640
-15997,26329,22694,-20557
-14174,27775,20375,-23227
-12296,29051,17875,-25618
-10369,30148,15218,-27701
-8401,31060,12426,-29450
-6401,31782,9524,-30846
-4375,32308,6538,-31871
-2332,32637,3494,-32512
-280,32765,420,-32763
1773,32691,-2658,-32620
3819,32418,-5712,-32084
5850,31945,-8717,-31163
7859,31276,-11644,-29867
9836,30415,-14468,-28212
11775,29368,-17165,-26217
13667,28140,-19710,-23908
15506,26740,-22081,-21311
17284,25175,-24256,-18458
18994,23456,-26217,-15383
20630,21593,-27947,-12123
22184,19598,-29430,-8717
23651,17482,-30652,-5206
25025,15259,-31604,-1633
26301,12942,-32277,1959
27474,10546,-32664,5528
28539,8085,-32763,9031
29491,5574,-32572,12426
30328,3030,-32093,15670
31045,466,-31331,18727
31641,-2099,-30292,21558
32112,-4652,-28986,24130
32457,-7177,-27423,26412
32675,-9658,-25618,28377
32764,-12079,-23586,30000
32725,-14427,-21346,31262
32557,-16685,-18918,32149
32261,-18842,-16322,32649
31838,-20882,-13582,32756
31290,-22795,-10723,32470
30619,-24568,-7768,31793
29828,-26189,-4745,30734
28920,-27651,-1679,29306
27898,-28942,1400,27525
26767,-30056,4467,25413
25530,-30985,7496,22995
24193,-31724,10457,20301
22761,-32269,13327,17363
21240,-32615,16079,14217
19635,-32761,18689,10899
17953,-32706,21133,7450
16201,-32451,23391,3912
14385,-31996,25442,326
12512,-31345,27269,-3262
10590,-30501,28854,-6812
8627,-29471,30184,-10280
6629,-28259,31248,-13625
4606,-26874,32036,-16806
2565,-25324,32540,-19784
513,-23619,32757,-22525
-1540,-21768,32685,-24995
-3587,-19784,32324,-27165
-5620,-17679,31677,-29007
-7632,-15465,30750,-30501
-9613,-13156,29552,-31629
-11557,-10767,28092,-32376
-13455,-8311,26385,-32734
-15300,-5804,24444,-32698
-17085,-3262,22287,-32269
-18803,-700,19933,-31452
-20448,1866,17403,-30257
-22012,4421,14719,-28698
-23489,6949,11905,-26794
-24874,9434,8986,-24568
-26161,11862,5988,-22046
-27346,14217,2937,-19259
-28423,16484,-140,-16241
-29389,18650,-3216,-13028
-30239,20702,-6263,-9658
-30970,22627,-9255,-6172
-31579,24413,-12166,-2611
-32065,26049,-14969,980
-32424,27525,-17640,4560
-32657,28832,-20154,8085
-32760,29962,-22491,11513
-32736,30908,-24629,14803
-32582,31665,-26550,17914
-32301,32227,-28235,20810
-31892,32592,-29672,23456
-31359,32756,-30846,25820
-30702,32720,-31747,27874
-29924,32482,-32369,29592
-29029,32046,-32704,30955
-28020,31412,-32750,31945
-26901,30586,-32506,32551
-25676,29572,-31976,32766
-24350,28377,-31163,32587
-22929,27007,-30074,32016
-21417,25472,-28720,31060
-19822,23780,-27112,29731
-18148,21942,-25265,28044
-16403,19970,-23194,26020
-14594,17875,-20918,23683
-12727,15670,-18458,21062
-10811,13370,-15834,18187
-8852,10987,-13071,15093
-6858,8537,-10192,11818
-4837,6034,-7223,8401
-2797,3494,-4190,4883
-746,933,-1120,1306
1306,-1633,1959,-2285
3355,-4190,5022,-5850
5390,-6721,8040,-9345
7405,-9211,10987,-12727
9390,-11644,13837,-15957
11338,-14006,16565,-18994
13242,-16282,19146,-21803
15093,-18458,21558,-24350
16886,-20521,23780,-26604
18612,-22457,25791,-28539
20265,-24256,27575,-30130
21838,-25906,29115,-31359
23326,-27397,30398,-32210
24721,-28720,31412,-32675
26020,-29867,32149,-32747
27217,-30830,32601,-32424
28306,-31604,32766,-31713
29285,-32184,32641,-30619
30148,-32567,32227,-29158
30893,-32750,31529,-27346
31516,-32731,30552,-25205
32016,-32512,29306,-22761
32390,-32093,27800,-20044
32637,-31478,26049,-17085
32755,-30669,24067,-13921
32745,-29672,21873,-10590
32606,-28493,19485,-7131
32339,-27138,16926,-3587
31945,-25618,14217,0
31425,-23940,11382,3587
30782,-22115,8446,7131
30018,-20154,5436,10590
29137,-18070,2378,13921
28140,-15875,-700,17085
27033,-13582,-3773,20044
25820,-11206,-6812,22761
24506,-8762,-9791,25205
23095,-6263,-12684,27346
21593,-3726,-15465,29158
20007,-1166,-18109,30619
18342,1400,-20593,31713
16605,3958,-22895,32424
14803,6492,-24995,32747
12942,8986,-26874,32675
11031,11426,-28516,32210
9076,13795,-29905,31359
7086,16079,-31030,30130
5068,18264,-31881,28539
3030,20338,-32451,26604
980,22287,-32734,24350
-1073,24099,-32727,21803
-3123,25763,-32431,18994
-5160,27269,-31849,15957
-7177,28607,-30985,12727
-9166,29770,-29848,9345
-11119,30750,-28446,5850
-13028,31542,-26794,2285
-14886,32140,-24904,-1306
-16685,32540,-22795,-4883
-18419,32741,-20484,-8401
-20081,32741,-17992,-11818
-21663,32540,-15341,-15093
-23161,32140,-12555,-18187
-24568,31542,-9658,-21062
-25878,30750,-6675,-23683
-27086,29770,-3633,-26020
-28188,28607,-560,-28044
-29179,27269,2518,-29731
-30056,25763,5574,-31060
-30814,24099,8582,-32016
-31452,22287,11513,-32587
-31966,20338,14343,-32766
-32354,18264,17046,-32551
-32615,16079,19598,-31945
-32748,13795,21977,-30955
-32753,11426,24162,-29592
-32628,8986,26133,-27874
-32376,6492,27874,-25820
-31996,3958,29368,-23456
-31491,1400,30603,-20810
-30862,-1166,31567,-17914
-30111,-3726,32252,-14803
-29243,-6263,32653,-11513
-28259,-8762,32765,-8085
-27165,-11206,32587,-4560
-25963,-13582,32121,-980
-24660,-15875,31372,2611
-23260,-18070,30345,6172
-21768,-20154,29051,9658
-20191,-22115,27499,13028
-18535,-23940,25705,16241
-16806,-25618,23683,19259
-15010,-27138,21453,22046
-13156,-28493,19032,24568
-11250,-29672,16444,26794
-9300,-30669,13710,28698
-7314,-31478,10855,30257
-5298,-32093,7904,31452
-3262,-32512,4883,32269
-1213,-32731,1819,32698
840,-32750,-1260,32734
2890,-32567,-4329,32376
4929,-32184,-7359,31629
6949,-31604,-10325,30501
8942,-30830,-13199,29007
10899,-29867,-15957,27165
12813,-28720,-18573,24995
14677,-27397,-21026,22525
16484,-25906,-23293,19784
18226,-24256,-25354,16806
19896,-22457,-27191,13625
21488,-20521,-28787,10280
22995,-18458,-30130,6812
24413,-16282,-31206,3262
25734,-14006,-32006,-326
26954,-11644,-32524,-3912
28068,-9211,-32754,-7450
29072,-6721,-32695,-10899
29962,-4190,-32346,-14217
30734,-1633,-31713,-17363
31385,933,-30798,-20301
31914,3494,-29612,-22995
32316,6034,-28164,-25413
32592,8537,-26467,-27525
32739,10987,-24537,-29306
32759,13370,-22389,-30734
32649,15670,-20044,-31793
32411,17875,-17521,-32470
32046,19970,-14844,-32756
31554,21942,-12036,-32649
30939,23780,-9121,-32149
30203,25472,-6126,-31262
29347,27007,-3076,-30000
28377,28377,0,-28377
27294,29572,3076,-26412
26105,30586,6126,-24130
24813,31412,9121,-21558
23424,32046,12036,-18727
21942,32482,14844,-15670
20375,32720,17521,-12426
18727,32756,20044,-9031
17006,32592,22389,-5528
15218,32227,24537,-1959
13370,31665,26467,1633
11469,30908,28164,5206
9524,29962,29612,8717
7541,28832,30798,12123
5528,27525,31713,15383
3494,26049,32346,18458
1446,24413,32695,21311
-606,22627,32754,23908
-2658,20702,32524,26217
-4698,18650,32006,28212
-6721,16484,31206,29867
-8717,14217,30130,31163
-10678,11862,28787,32084
-12598,9434,27191,32620
-14468,6949,25354,32763
-16282,4421,23293,32512
-18031,1866,21026,31871
-19710,-700,18573,30846
-21311,-3262,15957,29450
-22828,-5804,13199,27701
-24256,-8311,10325,25618
-25589,-10767,7359,23227
-26821,-13156,4329,20557
-27947,-15465,1260,17640
-28964,-17679,-1819,14510
-29867,-19784,-4883,11206
-30652,-21768,-7904,7768
-31318,-23619,-10855,4236
-31860,-25324,-13710,653
-32277,-26874,-16444,-2937
-32567,-28259,-19032,-6492
-32729,-29471,-21453,-9970
-32763,-30501,-23683,-13327
-32668,-31345,-25705,-16524
-32444,-31996,-27499,-19523
-32093,-32451,-29051,-22287
-31617,-32706,-30345,-24783
-31015,-32761,-31372,-26980
-30292,-32615,-32121,-28854
-29450,-32269,-32587,-30381
-28493,-31724,-32765,-31542
-27423,-30985,-32653,-32324
-26245,-30056,-32252,-32717
-24965,-28942,-31567,-32717
-23586,-27651,-30603,-32324
-22115,-26189,-29368,-31542
-20557,-24568,-27874,-30381
-18918,-22795,-26133,-28854
-17205,-20882,-24162,-26980
-15424,-18842,-21977,-24783
-13582,-16685,-19598,-22287
-11688,-14427,-17046,-19523
-9747,-12079,-14343,-16524
-7768,-9658,-11513,-13327
-5758,-7177,-8582,-9970
-3726,-4652,-5574,-6492
-1679,-2099,-2518,-2937
373,466,560,653
2425,3030,3633,4236
4467,5574,6675,7768
6492,8085,9658,11206
8491,10546,12555,14510
10457,12942,15341,17640
12382,15259,17992,20557
14259,17482,20484,23227
16079,19598,22795,25618
17836,21593,24904,27701
19523,23456,26794,29450
21133,25175,28446,30846
22660,26740,29848,31871
24099,28140,30985,32512
25442,29368,31849,32763
26686,30415,32431,32620
27825,31276,32727,32084
28854,31945,32734,31163
29770,32418,32451,29867
30569,32691,31881,28212
31248,32765,31030,26217
31804,32637,29905,23908
32236,32308,28516,21311
32540,31782,26874,18458
32717,31060,24995,15383
32766,30148,22895,12123
32685,29051,20593,8717
32476,27775,18109,5206
32140,26329,15465,1633
31677,24721,12684,-1959
31090,22962,9791,-5528
30381,21062,6812,-9031
29552,19032,3773,-12426
28607,16886,700,-15670
27550,14636,-2378,-18727
26385,12296,-5436,-21558
25115,9881,-8446,-24130
23748,7405,-11382,-26412
22287,4883,-14217,-28377
20738,2332,-16926,-30000
19108,-233,-19485,-31262
17403,-2797,-21873,-32149
15629,-5344,-24067,-32649
13795,-7859,-26049,-32756
11905,-10325,-27800,-32470
9970,-12727,-29306,-31793
7994,-15052,-30552,-30734
5988,-17284,-31529,-29306
3958,-19410,-32227,-27525
1912,-21417,-32641,-25413
-140,-23293,-32766,-22995
-2192,-25025,-32601,-20301
-4236,-26604,-32149,-17363
-6263,-28020,-31412,-14217
-8266,-29264,-30398,-10899
-10236,-30328,-29115,-7450
-12166,-31206,-27575,-3912
-14048,-31892,-25791,-326
-15875,-32383,-23780,3262
-17640,-32675,-21558,6812
-19335,-32766,-19146,10280
-20954,-32657,-16565,13625
-22491,-32346,-13837,16806
-23940,-31838,-10987,19784
-25294,-31134,-8040,22525
-26550,-30239,-5022,24995
-27701,-29158,-1959,27165
-28743,-27898,1120,29007
-29672,-26467,4190,30501
-30484,-24874,7223,31629
-31177,-23128,10192,32376
-31747,-21240,13071,32734
-32193,-19222,15834,32698
-32512,-17085,18458,32269
-32704,-14844,20918,31452
-32766,-12512,23194,30257
-32701,-10103,25265,28698
-32506,-7632,27112,26794
-32184,-5114,28720,24568
-31736,-2565,30074,22046
-31163,0,31163,19259
-30467,2565,31976,16241
-29652,5114,32506,13028
-28720,7632,32750,9658
-27676,10103,32704,6172
-26522,12512,32369,2611
-25265,14844,31747,-980
-23908,17085,30846,-4560
-22457,19222,29672,-8085
-20918,21240,28235,-11513
-19297,23128,26550,-14803
-17600,24874,24629,-17914
-15834,26467,22491,-20810
-14006,27898,20154,-23456
-12123,29158,17640,-25820
-10192,30239,14969,-27874
-8221,31134,12166,-29592
-6217,31838,9255,-30955
-4190,32346,6263,-31945
-2145,32657,3216,-32551
-93,32766,140,-32766
1959,32675,-2937,-32587
4004,32383,-5988,-32016
6034,31892,-8986,-31060
8040,31206,-11905,-29731
10014,30328,-14719,-28044
11949,29264,-17403,-26020
13837,28020,-19933,-23683
15670,26604,-22287,-21062
17442,25025,-24444,-18187
19146,23293,-26385,-15093
20774,21417,-28092,-11818
22321,19410,-29552,-8401
23780,17284,-30750,-4883
25145,15052,-31677,-1306
26412,12727,-32324,2285
27575,10325,-32685,5850
28630,7859,-32757,9345
29572,5344,-32540,12727
30398,2797,-32036,15957
31105,233,-31248,18994
31689,-2332,-30184,21803
32149,-4883,-28854,24350
32482,-7405,-27269,26604
32688,-9881,-25442,28539
32766,-12296,-23391,30130
32715,-14636,-21133,31359
32535,-16886,-18689,32210
32227,-19032,-16079,32675
31793,-21062,-13327,32747
31234,-22962,-10457,32424
30552,-24721,-7496,31713
29751,-26329,-4467,30619
28832,-27775,-1400,29158
27800,-29051,1679,27346
26659,-30148,4745,25205
25413,-31060,7768,22761
24067,-31782,10723,20044
22627,-32308,13582,17085
21097,-32637,16322,13921
19485,-32765,18918,10590
17797,-32691,21346,7131
16038,-32418,23586,3587
14217,-31945,25618,0
12339,-31276,27423,-3587
10413,-30415,28986,-7131
8446,-29368,30292,-10590
6446,-28140,31331,-13921
4421,-26740,32093,-17085
2378,-25175,32572,-20044
326,-23456,32763,-22761
-1726,-21593,32664,-25205
-3773,-19598,32277,-27346
-5804,-17482,31604,-29158
-7813,-15259,30652,-30619
-9791,-12942,29430,-31713
-11731,-10546,27947,-32424
-13625,-8085,26217,-32747
-15465,-5574,24256,-32675
-17244,-3030,22081,-32210
-18956,-466,19710,-31359
-20593,2099,17165,-30130
-22149,4652,14468,-28539
-23619,7177,11644,-26604
-24995,9658,8717,-24350
-26273,12079,5712,-21803
-27448,14427,2658,-18994
-28516,16685,-420,-15957
-29471,18842,-3494,-12727
-30310,20882,-6538,-9345
-31030,22795,-9524,-5850
-31629,24568,-12426,-2285
-32103,26189,-15218,1306
-32451,27651,-17875,4883
-32671,28942,-20375,8401
-32764,30056,-22694,11818
-32727,30985,-24813,15093
-32562,31724,-26713,18187
-32269,32269,-28377,21062
-31849,32615,-29790,23683
-31304,32761,-30939,26020
-30636,32706,-31816,28044
-29848,32451,-32411,29731
-28942,31996,-32720,31060
-27923,31345,-32739,32016
-26794,30501,-32470,32587
-25559,29471,-31914,32766
-24225,28259,-31075,32551
-22795,26874,-29962,31945
-21276,25324,-28584,30955
-19673,23619,-26954,29592
-17992,21768,-25085,27874
-16241,19784,-22995,25820
-14427,17679,-20702,23456
-12555,15465,-18226,20810
-10634,13156,-15588,17914
-8672,10767,-12813,14803
-6675,8311,-9925,11513
-4652,5804,-6949,8085
-2611,3262,-3912,4560
-560,700,-840,980
1493,-1866,2239,-2611
3541,-4421,5298,-6172
5574,-6949,8311,-9658
7586,-9434,11250,-13028
9568,-11862,14090,-16241
11513,-14217,16806,-19259
13412,-16484,19373,-22046
15259,-18650,21768,-24568
17046,-20702,23972,-26794
18765,-22627,25963,-28698
20411,-24413,27725,-30257
21977,-26049,29243,-31452
23456,-27525,30501,-32269
24844,-28832,31491,-32698
26133,-29962,32202,-32734
27320,-30908,32628,-32376
28400,-31665,32766,-31629
29368,-32227,32615,-30501
30221,-32592,32176,-29007
30955,-32756,31452,-27165
31567,-32720,30450,-24995
32055,-32482,29179,-22525
32418,-32046,27651,-19784
32653,-31412,25878,-16806
32760,-30586,23876,-13625
32738,-29572,21663,-10280
32587,-28377,19259,-6812
32308,-27007,16685,-3262
31903,-25472,13964,326
31372,-23780,11119,3912
30718,-21942,8175,7450
29943,-19970,5160,10899
29051,-17875,2099,14217
28044,-15670,-980,17363
26927,-13370,-4051,20301
25705,-10987,-7086,22995
24381,-8537,-10058,25413
22962,-6034,-12942,27525
21453,-3494,-15711,29306
19859,-933,-18342,30734
18187,1633,-20810,31793
16444,4190,-23095,32470
14636,6721,-25175,32756
12770,9211,-27033,32649
10855,11644,-28653,32149
8897,14006,-30018,31262
6903,16282,-31119,30000
4883,18458,-31945,28377
2844,20521,-32488,26412
793,22457,-32745,24130
-1260,24256,-32712,21558
-3308,25906,-32390,18727
-5344,27397,-31782,15670
-7359,28720,-30893,12426
-9345,29867,-29731,9031
-11294,30830,-28306,5528
-13199,31604,-26632,1959
-15052,32184,-24721,-1633
-16846,32567,-22593,-5206
-18573,32750,-20265,-8717
-20228,32731,-17758,-12123
-21803,32512,-15093,-15383
-23293,32093,-12296,-18458
-24691,31478,-9390,-21311
-25992,30669,-6401,-23908
-27191,29672,-3355,-26217
-28283,28493,-280,-28212
-29264,27138,2797,-29867
-30130,25618,5850,-31163
-30877,23940,8852,-32084
-31504,22115,11775,-32620
-32006,20154,14594,-32763
-32383,18070,17284,-32512
-32632,15875,19822,-31871
-32754,13582,22184,-30846
-32747,11206,24350,-29450
-32611,8762,26301,-27701
-32346,6263,28020,-25618
-31955,3726,29491,-23227
-31439,1166,30702,-20557
-30798,-1400,31641,-17640
-30037,-3958,32301,-14510
-29158,-6492,32675,-11206
-28164,-8986,32760,-7768
-27060,-11426,32557,-4236
-25849,-13795,32065,-653
-24537,-16079,31290,2937
-23128,-18264,30239,6492
-21628,-20338,28920,9970
-20044,-22287,27346,13327
-18381,-24099,25530,16524
-16645,-25763,23489,19523
-14844,-27269,21240,22287
-12985,-28607,18803,24783
-11075,-29770,16201,26980
-9121,-30750,13455,28854
-7131,-31542,10590,30381
-5114,-32140,7632,31542
-3076,-32540,4606,32324
-1026,-32741,1540,32717
1026,-32741,-1540,32717
3076,-32540,-4606,32324
5114,-32140,-7632,31542
7131,-31542,-10590,30381
9121,-30750,-13455,28854
11075,-29770,-16201,26980
12985,-28607,-18803,24783
14844,-27269,-21240,22287
16645,-25763,-23489,19523
18381,-24099,-25530,16524
20044,-22287,-27346,13327
21628,-20338,-28920,9970
23128,-18264,-30239,6492
24537,-16079,-31290,2937
25849,-13795,-32065,-653
27060,-11426,-32557,-4236
28164,-8986,-32760,-7768
29158,-6492,-32675,-11206
30037,-3958,-32301,-14510
30798,-1400,-31641,-17640
31439,1166,-30702,-20557
31955,3726,-29491,-23227
32346,6263,-28020,-25618
32611,8762,-26301,-27701
32747,11206,-24350,-29450
32754,13582,-22184,-30846
32632,15875,-19822,-31871
32383,18070,-17284,-32512
32006,20154,-14594,-32763
31504,22115,-11775,-32620
30877,23940,-8852,-32084
30130,25618,-5850,-31163
29264,27138,-2797,-29867
28283,28493,280,-28212
27191,29672,3355,-26217
25992,30669,6401,-23908
24691,31478,9390,-21311
23293,32093,12296,-18458
21803,32512,15093,-15383
20228,32731,17758,-12123
18573,32750,20265,-8717
16846,32567,22593,-5206
15052,32184,24721,-1633
13199,31604,26632,1959
11294,30830,28306,5528
9345,29867,29731,9031
7359,28720,30893,12426
5344,27397,31782,15670
3308,25906,32390,18727
1260,24256,32712,21558
-793,22457,32745,24130
-2844,20521,32488,26412
-4883,18458,31945,28377
-6903,16282,31119,30000
-8897,14006,30018,31262
-10855,11644,28653,32149
-12770,9211,27033,32649
-14636,6721,25175,32756
-16444,4190,23095,32470
-18187,1633,20810,31793
-19859,-933,18342,30734
-21453,-3494,15711,29306
-22962,-6034,12942,27525
-24381,-8537,10058,25413
-25705,-10987,7086,22995
-26927,-13370,4051,20301
-28044,-15670,980,17363
-29051,-17875,-2099,14217
-29943,-19970,-5160,10899
-30718,-21942,-8175,7450
-31372,-23780,-11119,3912
-31903,-25472,-13964,326
-32308,-27007,-16685,-3262
-32587,-28377,-19259,-6812
-32738,-29572,-21663,-10280
-32760,-30586,-23876,-13625
-32653,-31412,-25878,-16806
-32418,-32046,-27651,-19784
-32055,-32482,-29179,-22525
-31567,-32720,-30450,-24995
-30955,-32756,-31452,-27165
-30221,-32592,-32176,-29007
-29368,-32227,-32615,-30501
-28400,-31665,-32766,-31629
-27320,-30908,-32628,-32376
-26133,-29962,-32202,-32734
-24844,-28832,-31491,-32698
-23456,-27525,-30501,-32269
-21977,-26049,-29243,-31452
-20411,-24413,-27725,-30257
-18765,-22627,-25963,-28698
-17046,-20702,-23972,-26794
-15259,-18650,-21768,-24568
-13412,-16484,-19373,-22046
-11513,-14217,-16806,-19259
-9568,-11862,-14090,-16241
-7586,-9434,-11250,-13028
-5574,-6949,-8311,-9658
-3541,-4421,-5298,-6172
-1493,-1866,-2239,-2611
560,700,840,980
2611,3262,3912,4560
4652,5804,6949,8085
6675,8311,9925,11513
8672,10767,12813,14803
10634,13156,15588,17914
12555,15465,18226,20810
14427,17679,20702,23456
16241,19784,22995,25820
17992,21768,25085,27874
19673,23619,26954,29592
21276,25324,28584,30955
22795,26874,29962,31945
24225,28259,31075,32551
25559,29471,31914,32766
26794,30501,32470,32587
27923,31345,32739,32016
28942,31996,32720,31060
29848,32451,32411,29731
30636,32706,31816,28044
31304,32761,30939,26020
31849,32615,29790,23683
32269,32269,28377,21062
32562,31724,26713,18187
32727,30985,24813,15093
32764,30056,22694,11818
32671,28942,20375,8401
32451,27651,17875,4883
32103,26189,15218,1306
31629,24568,12426,-2285
31030,22795,9524,-5850
30310,20882,6538,-9345
29471,18842,3494,-12727
28516,16685,420,-15957
27448,14427,-2658,-18994
26273,12079,-5712,-21803
24995,9658,-8717,-24350
23619,7177,-11644,-26604
22149,4652,-14468,-28539
20593,2099,-17165,-30130
18956,-466,-19710,-31359
17244,-3030,-22081,-32210
15465,-5574,-24256,-32675
13625,-8085,-26217,-32747
11731,-10546,-27947,-32424
9791,-12942,-29430,-31713
7813,-15259,-30652,-30619
5804,-17482,-31604,-29158
3773,-19598,-32277,-27346
1726,-21593,-32664,-25205
-326,-23456,-32763,-22761
-2378,-25175,-32572,-20044
-4421,-26740,-32093,-17085
-6446,-28140,-31331,-13921
-8446,-29368,-30292,-10590
-10413,-30415,-28986,-7131
-12339,-31276,-27423,-3587
-14217,-31945,-25618,0
-16038,-32418,-23586,3587
-17797,-32691,-21346,7131
-19485,-32765,-18918,10590
-21097,-32637,-16322,13921
-22627,-32308,-13582,17085
-24067,-31782,-10723,20044
-25413,-31060,-7768,22761
-26659,-30148,-4745,25205
-27800,-29051,-1679,27346
-28832,-27775,1400,29158
-29751,-26329,4467,30619
-30552,-24721,7496,31713
-31234,-22962,10457,32424
-31793,-21062,13327,32747
-32227,-19032,16079,32675
-32535,-16886,18689,32210
-32715,-14636,21133,31359
-32766,-12296,23391,30130
-32688,-9881,25442,28539
-32482,-7405,27269,26604
-32149,-4883,28854,24350
-31689,-2332,30184,21803
-31105,233,31248,18994
-30398,2797,32036,15957
-29572,5344,32540,12727
-28630,7859,32757,9345
-27575,10325,32685,5850
-26412,12727,32324,2285
-25145,15052,31677,-1306
-23780,17284,30750,-4883
-22321,19410,29552,-8401
-20774,21417,28092,-11818
-19146,23293,26385,-15093
-17442,25025,24444,-18187
-15670,26604,22287,-21062
-13837,28020,19933,-23683
-11949,29264,17403,-26020
-10014,30328,14719,-28044
-8040,31206,11905,-29731
-6034,31892,8986,-31060
-4004,32383,5988,-32016
-1959,32675,2937,-32587
93,32766,-140,-32766
